id,price,qty,quote_qty,time,is_buyer_maker,amount,open,high,low,close,volume
905123842,0.9005,1146.0,1031.973,2023-12-25 17:44:40,False,1146.0,0.9057,0.9057,0.9057,0.9005,1146.0
905131797,0.8981,1285.0,1154.0585,2023-12-25 17:54:18,False,1285.0,0.9005,0.9005,0.9005,0.8981,1285.0
905138959,0.9017,3583.0,3230.7911,2023-12-25 18:04:47,True,3583.0,0.8981,0.8981,0.8981,0.9017,3583.0
905146108,0.9016,3211.0,2895.0376,2023-12-25 18:12:52,True,3211.0,0.9017,0.9017,0.9017,0.9016,3211.0
905153067,0.9052,21898.0,19822.0696,2023-12-25 18:20:19,False,21898.0,0.9016,0.9016,0.9016,0.9052,21898.0
905161942,0.9089,404.0,367.1956,2023-12-25 18:34:08,True,404.0,0.9052,0.9052,0.9052,0.9089,404.0
905170607,0.9021,3689.0,3327.8469,2023-12-25 18:50:49,False,3689.0,0.9089,0.9089,0.9089,0.9021,3689.0
905179016,0.9006,286.0,257.5716,2023-12-25 19:02:10,False,286.0,0.9021,0.9021,0.9021,0.9006,286.0
905188956,0.9072,4108.0,3726.7776,2023-12-25 19:17:54,True,4108.0,0.9006,0.9006,0.9006,0.9072,4108.0
905199370,0.9081,8024.0,7286.5944,2023-12-25 19:38:37,True,8024.0,0.9072,0.9072,0.9072,0.9081,8024.0
905209810,0.9117,7740.0,7056.558,2023-12-25 19:54:22,False,7740.0,0.9081,0.9081,0.9081,0.9117,7740.0
905219150,0.9118,1227.0,1118.7786,2023-12-25 20:07:08,True,1227.0,0.9117,0.9117,0.9117,0.9118,1227.0
905226942,0.9036,3791.0,3425.5476,2023-12-25 20:13:12,False,3791.0,0.9118,0.9118,0.9118,0.9036,3791.0
905235038,0.9093,10000.0,9093.0,2023-12-25 20:20:17,False,10000.0,0.9036,0.9036,0.9036,0.9093,10000.0
905243889,0.907,975.0,884.325,2023-12-25 20:30:21,True,975.0,0.9093,0.9093,0.9093,0.907,975.0
905252734,0.9004,5480.0,4934.192,2023-12-25 20:37:45,False,5480.0,0.907,0.907,0.907,0.9004,5480.0
905260641,0.8982,11025.0,9902.655,2023-12-25 20:43:49,False,11025.0,0.9004,0.9004,0.9004,0.8982,11025.0
905268302,0.901,602.0,542.402,2023-12-25 20:50:09,False,602.0,0.8982,0.8982,0.8982,0.901,602.0
905277132,0.9065,27509.0,24936.9085,2023-12-25 21:03:47,False,27509.0,0.901,0.901,0.901,0.9065,27509.0
905284388,0.9001,186.0,167.4186,2023-12-25 21:10:00,False,186.0,0.9065,0.9065,0.9065,0.9001,186.0
905292257,0.9034,771.0,696.5214,2023-12-25 21:18:14,False,771.0,0.9001,0.9001,0.9001,0.9034,771.0
905299785,0.8994,2000.0,1798.8,2023-12-25 21:31:28,False,2000.0,0.9034,0.9034,0.9034,0.8994,2000.0
905309105,0.9036,2842.0,2568.0312,2023-12-25 21:44:51,False,2842.0,0.8994,0.8994,0.8994,0.9036,2842.0
905319702,0.9069,2104.0,1908.1176,2023-12-25 22:10:01,True,2104.0,0.9036,0.9036,0.9036,0.9069,2104.0
905328670,0.9167,315.0,288.7605,2023-12-25 22:18:14,False,315.0,0.9069,0.9069,0.9069,0.9167,315.0
905335608,0.9195,9367.0,8612.9565,2023-12-25 22:23:00,True,9367.0,0.9167,0.9167,0.9167,0.9195,9367.0
905342210,0.9187,1672.0,1536.0664,2023-12-25 22:28:04,False,1672.0,0.9195,0.9195,0.9195,0.9187,1672.0
905350577,0.9218,322.0,296.8196,2023-12-25 22:38:26,False,322.0,0.9187,0.9187,0.9187,0.9218,322.0
905361886,0.9172,315.0,288.918,2023-12-25 22:58:44,False,315.0,0.9218,0.9218,0.9218,0.9172,315.0
905371084,0.9145,4717.0,4313.6965,2023-12-25 23:11:27,True,4717.0,0.9172,0.9172,0.9172,0.9145,4717.0
905378645,0.9148,2594.0,2372.9912,2023-12-25 23:28:32,False,2594.0,0.9145,0.9145,0.9145,0.9148,2594.0
905385682,0.9107,736.0,670.2752,2023-12-25 23:39:04,False,736.0,0.9148,0.9148,0.9148,0.9107,736.0
905395272,0.9132,3935.0,3593.442,2023-12-26 00:00:03,False,3935.0,0.9107,0.9107,0.9107,0.9132,3935.0
905403603,0.9076,274.0,248.6824,2023-12-26 00:09:19,False,274.0,0.9132,0.9132,0.9132,0.9076,274.0
905413483,0.9026,2022.0,1825.0572,2023-12-26 00:26:50,True,2022.0,0.9076,0.9076,0.9076,0.9026,2022.0
905421162,0.9028,335.0,302.438,2023-12-26 00:37:02,True,335.0,0.9026,0.9026,0.9026,0.9028,335.0
905429884,0.8971,3992.0,3581.2232,2023-12-26 00:54:19,True,3992.0,0.9028,0.9028,0.9028,0.8971,3992.0
905439362,0.8962,16407.0,14703.9534,2023-12-26 01:10:30,False,16407.0,0.8971,0.8971,0.8971,0.8962,16407.0
